date,time,kospi200_spot,kospi200_futures,basis,basis_pct,basis_slope,vkospi
2026-05-19,09:15:00,1151.2,1152.35,1.15,0.0999,,72.51
2026-05-20,09:15:00,1118.8,1146.6,27.8,2.4848,26.65,71.37
2026-05-21,09:15:00,1183.8,1172.55,-11.25,-0.9503,-39.05,71.33
2026-05-22,09:15:06,1230.05,1239.85,9.8,0.7967,21.05,66.97
2026-05-26,09:15:06,1263.05,1263.25,0.2,0.0158,-9.6,
2026-05-27,09:15:00,1337.35,1332.85,-4.5,-0.3365,-4.7,68.09
2026-05-28,09:15:00,1286.05,1292.6,6.55,0.5093,11.05,70.78
2026-05-29,09:15:00,1341.2,1332.75,-8.45,-0.63,-15.0,71.6
2026-06-01,09:15:00,1371.45,1345.8,-25.65,-1.8703,-17.2,74.26
2026-06-02,09:15:00,1410.4,1426.35,15.95,1.1309,41.6,74.22
2026-06-03,09:15:00,1415.75,1409.95,-5.8,-0.4097,-21.75,73.6
2026-06-04,09:15:00,1387.25,1386.15,-1.1,-0.0793,4.7,73.6
2026-06-05,09:15:00,1309.85,1328.4,18.55,1.4162,19.65,73.44
2026-06-10,09:15:00,1275.4,1243.6,-31.8,-2.4933,-50.35,91.23
2026-06-11,09:15:00,1188.35,1180.3,-8.05,-0.6774,23.75,88.35
2026-06-12,09:15:02,1338.5,1333.0,-5.5,-0.4109,2.55,87.3
